system,truth_nm,estimate_nm,error_nm,confidence,repeat
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.2374186883064,-0.7625813116936229,0.057806370207083985,17
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.6861815336405,-0.31381846635952115,0.04522524211108837,17
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.3717728898958,-0.6282271101042056,0.0505334354632497,17
double_helix,432.0,431.77889421018597,-0.2211057898140325,0.10237517084035551,18
best_single_helix,432.0,431.55087202601453,-0.449127973985469,0.08479500605490423,18
original_dual_plus_minus,432.0,431.9010911464344,-0.09890885356560375,0.043634486306969734,18
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.5620744338853,-0.4379255661146999,0.04159323855893426,18
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.3158473573403,-0.6841526426596829,0.060198051688985406,18
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.05582847736633,-0.9441715226336669,0.06228049545561929,18
double_helix,432.0,431.6692013747679,-0.3307986252320916,0.11172689563325354,19
best_single_helix,432.0,431.8955684306203,-0.10443156937969889,0.05541251880180477,19
original_dual_plus_minus,432.0,431.87547444374735,-0.1245255562526495,0.04639261798364492,19
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,432.0,431.6545332528766,-0.3454667471233961,0.03563151335352004,19
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,432.0,431.47082832461825,-0.5291716753817468,0.057254396563235506,19
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,432.0,431.7353359005207,-0.2646640994793188,0.03365938496319713,19
double_helix,487.0,486.8813471500983,-0.11865284990170721,0.10576025996956055,0
best_single_helix,487.0,487.0195182973123,0.01951829731228827,0.09881350704844925,0
original_dual_plus_minus,487.0,486.99826390247455,-0.0017360975254518962,0.04989516588599236,0
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.0768886439234,0.07688864392338246,0.04387464760823607,0
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.09107755876715,0.09107755876715373,0.04479508422241237,0
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.87373059419895,-0.12626940580105384,0.0673363804545206,0
double_helix,487.0,486.96818427184684,-0.03181572815316258,0.09247253203326179,1
best_single_helix,487.0,487.05148377013353,0.05148377013352956,0.08938092098115158,1
original_dual_plus_minus,487.0,486.9298715018122,-0.07012849818778477,0.05028276014481461,1
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.9067331619256,-0.09326683807438485,0.060468112167818444,1
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.04766243708974,0.04766243708974116,0.05102280616684752,1
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.0550792682694,0.055079268269423665,0.0479125535934425,1
double_helix,487.0,487.20897173288324,0.2089717328832421,0.05210104735293827,2
best_single_helix,487.0,487.11382304819864,0.11382304819863975,0.07498221961367402,2
original_dual_plus_minus,487.0,486.8575482600215,-0.1424517399785259,0.060289704979263586,2
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,487.0619964820139,0.06199648201391028,0.048834413871025814,2
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.800724397076,-0.19927560292398994,0.07500093743646329,2
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.9168042029954,-0.0831957970045778,0.061792801488576445,2
double_helix,487.0,486.96285980386,-0.03714019614000108,0.09150623272789779,3
best_single_helix,487.0,486.9882870788408,-0.011712921159187317,0.10649803260387634,3
original_dual_plus_minus,487.0,487.10503089001963,0.10503089001963417,0.03680574687618334,3
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.76443679429667,-0.235563205703329,0.07311943628870483,3
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,487.05230249491797,0.052302494917967124,0.04918281040076848,3
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.97597887271377,-0.024021127286232513,0.05585016122477776,3
double_helix,487.0,487.07536590294103,0.07536590294103007,0.07322064778481546,4
best_single_helix,487.0,486.9751588098834,-0.024841190116603684,0.09970092507549257,4
original_dual_plus_minus,487.0,487.1662243294331,0.16622432943307786,0.02858860161446005,4
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.8899336073312,-0.11006639266878437,0.06597213933145776,4
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.9749966358156,-0.025003364184385646,0.05692677792774995,4
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.9433831421848,-0.056616857815185995,0.0572164813748659,4
double_helix,487.0,487.1086823561942,0.1086823561942083,0.07290601790426866,5
best_single_helix,487.0,487.00575220094464,0.005752200944641572,0.09491492853219702,5
original_dual_plus_minus,487.0,487.1613992791562,0.1613992791562282,0.029188121592045473,5
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.9933438000737,-0.0066561999262830795,0.05670576940698829,5
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.9291324676777,-0.07086753232232468,0.05846452116927914,5
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,486.86686839283465,-0.13313160716535322,0.0624550933299449,5
double_helix,487.0,487.0269707436904,0.026970743690412746,0.08135258851096508,6
best_single_helix,487.0,487.09315978424706,0.09315978424706373,0.08085860746098056,6
original_dual_plus_minus,487.0,487.03551077020705,0.035510770207054065,0.04350918676710331,6
top_1_z06_c2_s2_hm1__z06_c2_s2_hm1,487.0,486.8460881014318,-0.15391189856819665,0.06672643409392197,6
top_2_z04_c2_s2_hm1__z08_c2_s2_hp1,487.0,486.8917369509588,-0.10826304904122708,0.06711326484595881,6
top_3_z06_c2_s2_hp1__z06_c2_s2_hp1,487.0,487.00658271529284,0.006582715292836383,0.05090958293751489,6
double_helix,487.0,486.9292106496087,-0.07078935039129419,0.10183746941523936,7
best_single_helix,487.0,487.0151195956388,0.015119595638793726,0.09366917172037645,7
original_dual_plus_minus,487.0,487.10145126941234,0.10145126941233684,0.03861995465480626,7
