system,truth_nm,estimate_nm,confidence,repeat
dual_single_helix,687.0,685.0,0.08314705477280254,12
single_double_helix,687.0,685.0,0.1641054674272266,12
dual_single_helix,687.0,685.0,0.08569634642026544,13
single_double_helix,687.0,685.0,0.17287374641130096,13
dual_single_helix,687.0,685.0,0.10402224810185903,14
single_double_helix,687.0,685.0,0.17316711051236877,14
dual_single_helix,687.0,685.0,0.054516034958104066,15
single_double_helix,687.0,685.0,0.17417909383018407,15
dual_single_helix,687.0,685.0,0.08946757970443162,16
single_double_helix,687.0,685.0,0.12205018786640878,16
dual_single_helix,687.0,685.0,0.08718494996232515,17
single_double_helix,687.0,685.0,0.1368804179483151,17
dual_single_helix,687.0,685.0,0.08399385540948386,18
single_double_helix,687.0,685.0,0.19218556365776407,18
dual_single_helix,687.0,685.0,0.09173334408721197,19
single_double_helix,687.0,685.0,0.1641927945289625,19
